,Release,Currency,Symbol,Programming language of implementation,Notes,Date,Close,Market Cap
0,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-12-04,7252.03,131143073943.0
1,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-12-03,7320.15,132359942301.0
2,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-12-02,7321.99,132378982377.0
3,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-12-01,7424.29,134215145410.0
4,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-30,7569.63,136829391049.0
5,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-29,7761.24,140280108521.0
6,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-28,7463.11,134879411013.0
7,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-27,7531.66,136102712894.0
8,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-26,7218.37,130429018720.0
9,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-25,7146.13,129112952930.0
10,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-24,7047.92,127327398565.0
11,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-23,7397.8,133636205957.0
12,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-22,7296.58,131791783672.0
13,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-21,7642.75,138031885379.0
14,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-20,8027.27,144962727398.0
15,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-19,8206.15,148178376843.0
16,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-18,8309.29,150025712267.0
17,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-17,8577.98,154861842425.0
18,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-16,8550.76,154354054194.0
19,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-15,8491.99,153277483626.0
20,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-14,8708.1,157160974644.0
21,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-13,8808.26,158949942842.0
22,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-12,8815.66,159068712900.0
23,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-11,8757.79,158009772437.0
24,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-10,9055.53,163364406732.0
25,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-09,8813.58,158981489715.0
26,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-08,8804.88,158808570729.0
27,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-07,9267.56,167138722904.0
28,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-06,9360.88,168806151583.0
29,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-05,9342.53,168459778835.0
30,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-04,9412.61,169706332936.0
31,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-03,9235.35,166495319475.0
32,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-02,9324.72,168090392935.0
33,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-11-01,9261.1,166928044164.0
34,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-31,9199.58,165804227835.0
35,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-30,9205.73,165899500650.0
36,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-29,9427.69,169883866262.0
37,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-28,9256.15,166777392742.0
38,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-27,9551.71,172087039875.0
39,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-26,9244.97,166547360782.0
40,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-25,8660.7,156006603607.0
41,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-24,7493.49,134968410276.0
42,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-23,7514.67,135337364282.0
43,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-22,8078.2,145469660005.0
44,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-21,8243.72,148432733155.0
45,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-20,8222.08,148026597064.0
46,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-19,7988.56,143808163807.0
47,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-18,7973.21,143517630376.0
48,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-17,8103.91,145853994298.0
49,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-16,8047.53,144823993562.0
50,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-15,8205.37,147650082215.0
51,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-14,8374.69,150680499056.0
52,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-13,8321.01,149700817939.0
53,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-12,8336.56,149965767624.0
54,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-11,8321.76,149685618275.0
55,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-10,8586.47,154430515160.0
56,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-09,8595.74,154579656110.0
57,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-08,8228.78,147966069982.0
58,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-07,8245.62,148252589805.0
59,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-06,7988.16,143607672862.0
60,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-05,8151.5,146529229668.0
61,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-04,8205.94,147491804056.0
62,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-03,8259.99,148448162840.0
63,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-02,8393.04,150823797662.0
64,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-10-01,8343.28,149913972768.0
65,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-30,8293.87,149011567415.0
66,2009,Bitcoin,"BTC, XBT, ₿",C++,"The first and most widely used decentralized ledger currency,",2019-09-29,8104.19,145590374681.0
